state,x,y
Jammu And Kashmir,-105,223
Punjab,-127,150
Himachalpradesh,-93,171
Haryana,-108,118
Uttarakhand,-60,136
Rajasthan,-168,72
Uttarpradesh,-39,78
Gujarat,-189,8
Madhyapradesh,-95,7
Bihar,45,54
Maharashtra,-138,-60
Chhattisgarh,-18,-14
Andhrapradesh,-67,-102
Goa,-143,-124
Orissa,13,-34
Karnataka,-125,-140
Kerala,-104,-205
Tamilnadu,-76,-197
Jharkhand,31,19
Westbengal,72,11
Sikkim,90,90
Meghalaya,129,51
Assam,143,67
Tripura,141,20
Mizoram,162,12
Nagaland,190,64
Manipur,177,38
Arunachalpradesh,176,98
